type,id,title,issues,admin_url,public_url
photos,2834,Cistern,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2834,https://holy-land-photos.vercel.app/photos/GIDLSY08
photos,2837,Palace/Temple Courtyard,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2837,https://holy-land-photos.vercel.app/photos/INHVHZRE02
photos,2840,Administrative Building,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2840,https://holy-land-photos.vercel.app/photos/TSCADAD18
photos,2848,Southern Bath (SB),inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2848,https://holy-land-photos.vercel.app/photos/TCMCPE38
photos,2849,SB Pool,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2849,https://holy-land-photos.vercel.app/photos/TCMCPE39
photos,2851,Theater,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2851,https://holy-land-photos.vercel.app/photos/TSCADAD06
photos,2852,Adada Site,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2852,https://holy-land-photos.vercel.app/photos/TSCADAD13
photos,2859,Library of Neron 1,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2859,https://holy-land-photos.vercel.app/photos/TXCSGUC08
photos,2862,Theater,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2862,https://holy-land-photos.vercel.app/photos/TXCSGUC11
photos,2864,Upper Agora Area 1,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2864,https://holy-land-photos.vercel.app/photos/TXCSGUA02
photos,2865,Upper Agora,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2865,https://holy-land-photos.vercel.app/photos/TXCSGUA03
photos,2866,Upper Agora Area 2,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2866,https://holy-land-photos.vercel.app/photos/TXCSGUA06
photos,2875,Basin,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2875,https://holy-land-photos.vercel.app/photos/TWNATY23
photos,2881,Cove,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2881,https://holy-land-photos.vercel.app/photos/GICRFH24
photos,2883,Podium/Altar,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2883,https://holy-land-photos.vercel.app/photos/INHVHZRE01
